pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,birth_month_diff,birth_month_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
1,1,2.0,2.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
2,1,78.0,3.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
3,1,79.0,4.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
4,1,6.0,6.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
5,1,7.0,7.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
6,1,9.0,9.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
7,1,10.0,10.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
8,1,11.0,11.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
9,1,13.0,13.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
10,1,15.0,15.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
11,1,16.0,16.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
12,1,19.0,19.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
13,1,20.0,20.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
14,1,24.0,24.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
15,1,26.0,26.0,10.0,10.0,0.9992536694476112,0.0,1,10.0,0,0.0,1,1,1,1,1,1,0.875
16,1,30.0,30.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
17,1,31.0,31.0,28.0,28.0,0.9772729812687765,28.0,0,0.0,1,0.0,1,1,1,1,1,1,0.875
18,1,33.0,33.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
19,1,34.0,34.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
20,1,38.0,38.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
21,1,40.0,40.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
22,1,43.0,43.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
23,1,44.0,44.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
24,1,45.0,45.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
25,1,47.0,47.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
26,1,49.0,49.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
27,1,51.0,51.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
28,1,54.0,54.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
29,1,56.0,56.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
30,1,60.0,60.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
31,1,61.0,61.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
32,1,63.0,63.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
33,1,64.0,64.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
34,1,65.0,65.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
35,1,69.0,69.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
36,1,70.0,70.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
37,1,71.0,71.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
