pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal
0,1,0.0,0.0,4.242640687119285,6.0,0.9862393362677775,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.0,1.0,2.23606797749979,3.0,0.9932659166648444,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2,1,2.0,2.0,85212.0002933859,85220.0,-0.15415123765853922,7.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,85212.0,0.0,0.0,0.0,0.0
3,1,3.0,3.0,7.0,7.0,0.9826786937727111,7.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
4,1,4.0,4.0,1.0,1.0,0.9486832980505138,0.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
5,1,5.0,5.0,2.449489742783178,4.0,0.9767725810110087,1.0,0.0,2.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,6.0,6.0,5.196152422706632,7.0,0.9621404708847278,5.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,7.0,7.0,35277.00001417354,35278.0,0.9999998621663827,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,35277.0,0.0,0.0,0.0,0.0
8,1,8.0,8.0,11.0,11.0,-0.06415002990995844,11.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
9,1,9.0,9.0,84231.00015433748,84237.0,-0.11688829611072293,5.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,84231.0,0.0,0.0,0.0,0.0
10,1,10.0,10.0,29310.000307062433,29316.0,0.9999997392532036,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,29310.0,0.0,0.0,0.0,0.0
11,1,11.0,11.0,16621.000030082425,16622.0,0.9999761700708184,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,16621.0,0.0,0.0,0.0,0.0
12,1,12.0,12.0,4.123105625617661,5.0,0.9959873727522465,4.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
13,1,13.0,13.0,4.123105625617661,5.0,0.9944577973205988,4.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
14,1,14.0,14.0,6.324555320336759,8.0,0.9689627902499088,6.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
15,1,15.0,15.0,25114.000039818427,25116.0,-0.09538595798979843,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.2,25114.0,0.0,0.0,0.0,0.0
16,1,16.0,16.0,22891.000021842647,22892.0,0.9999999192086919,0.0,1.0,0.0,1,1.0,0,0.0,0.0,0.4,22891.0,0.0,0.0,0.0,0.0
17,1,17.0,17.0,14303.000349577007,14307.0,-0.09632718447310018,1.0,0.0,3.0,0,0.0,1,0.0,0.0,0.2,14303.0,0.0,0.0,0.0,0.0
18,1,18.0,18.0,95112.00004731264,95115.0,-0.061641849661076886,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,95112.0,0.0,0.0,0.0,0.0
19,1,19.0,19.0,47998.000104171006,48002.0,0.999999998304386,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,47998.0,0.0,0.0,0.0,0.0
20,1,20.0,20.0,84121.00005943819,84125.0,-0.09697501751799864,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,84121.0,0.0,0.0,0.0,0.0
21,1,21.0,21.0,3.1622776601683795,4.0,0.9516357291821832,1.0,0.0,3.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
22,1,22.0,22.0,3.1622776601683795,4.0,0.993263139087243,3.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
23,1,23.0,23.0,4.47213595499958,6.0,0.9946351544273337,4.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
24,1,24.0,24.0,156.01281998605114,158.0,0.9999999894471205,0.0,1.0,2.0,0,0.0,1,0.0,0.0,0.4,156.0,0.0,0.0,0.0,0.0
25,1,25.0,25.0,1.4142135623730951,2.0,0.996709240304503,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
26,1,26.0,26.0,11012.000090810025,11014.0,-0.08047057168032268,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,11012.0,0.0,0.0,0.0,0.0
27,1,27.0,27.0,1.4142135623730951,2.0,0.9932885906040269,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
28,1,28.0,28.0,719.0,719.0,0.999999999996114,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,719.0,0.0,0.0,0.0,0.0
29,1,29.0,29.0,7.280109889280518,9.0,0.9640566180149879,7.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
30,1,30.0,30.0,3.1622776601683795,4.0,0.9975694083904585,3.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
31,1,31.0,31.0,1.4142135623730951,2.0,0.944911182523068,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
32,1,32.0,32.0,36270.00034463744,36275.0,0.999999999430461,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,36270.0,0.0,0.0,0.0,0.0
33,1,33.0,33.0,5.0990195135927845,6.0,0.9973600960790272,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
